Transportation Service Provider Name:,,,,ANR Pipeline Company,,,,,,,,,,,,,,,
Transportation Service Provider:,,,,6958581,,,,,,,,,,,,,,,
Transporation Service Provider FERC CID:,,,,C000623,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location Name,Loc,Loc St Abbrev,Loc Cnty,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn Loc Name,Up/Dn Loc,Up/Dn FERC CID IND,Up/Dn FERC CID,Update Date/Time
CONVOY,16265,OH,Van Wert,Zone 3,LDC,D,A,1/1/83,,,N,East Ohio Gas Co,7900475,,,,N,,20180812 05:08
COOPERSVILLE,11750,MI,Ottawa,Zone 7,LDC,D,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20190401 11:01
CORUNNA - ON SYSTEM,384818,MI,St Clair,Zone 7,LDC,D,A,3/10/04,,,N,Enbridge Gas Distrib,246667372,,,,N,,20040311 09:21
CORUNNA INT,216158,MI,St Clair,Zone 7,LDC,D,A,11/1/96,,,N,Enbridge Gas Distrib,246667372,,,,N,,20020913 07:18
CORYDON,4858,IA,Wayne,Zone 6,LDC,D,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20140131 13:39
COTTAGE GROVE,40432,TN,Henry,Zone 2,LDC,D,A,3/6/13,,,N,Paris Henry City Pud,66115122,,,,N,,20190401 10:46
COVERT POWER PLANT,312117,MI,Van Buren,Zone 7,END,B,A,2/14/03,,,N,New Covert Gen Co,169630725,,,,N,,20190402 14:15
CRAIG,12997,MO,Holt,Zone 5,LDC,D,A,1/1/83,,,N,Empire District Gas,625371880,,,,N,,20140822 14:15
CRANDON,28703,WI,Forest,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20150507 12:57
CRAWFORD INTERCONNECT,281778,KS,Comanche,Zone 4,WHD,R,A,7/1/00,,,N,Southwest Supply Co DBA,791099039,,,,N,,20040702 10:43
CRETE POWER PLANT,360888,IL,Will,Zone 7,END,D,A,6/1/03,,,N,Crete Energy Venture,540802791,,,,N,,20180926 15:46
CRIVITZ,174790,WI,Oconto,Zone 7,LDC,D,A,9/1/94,,,N,Wisconsin Public Service Co,7947435,,,,N,,20150508 12:48
CROWN POINT/NIPSCO,138744,IN,Lake,Zone 7,LDC,D,A,1/1/90,,,N,NIPSCO,6937585,,,,N,,20190314 12:46
CRYSTAL FALLS-FORTUNE LK,11661,MI,Iron,Zone 7,INT,R,A,1/1/83,,,Y,Great Lakes Gas Transmission,824900229,,Fortune Lake,11655,Y,C000628,20191211 10:16
CRYSTAL FALLS-MICHCON,40844,MI,Iron,Zone 7,LDC,D,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20160501 15:33
CUSTER BAKER,703496,OK,Custer,Zone 4,WHD,R,A,2/12/08,,,N,Markwest Oklahoma,143268097,,,,N,,20180510 10:31
CUSTER CITY/TRANSOK REC,16842,OK,Custer,Zone 4,INT,F,A,10/1/91,,,Y,Enable Oklahoma,7205412,,ANR Custer L-10 Interconnect,10087,Y,C000960,20041216 07:42
CUSTER PLANT - INLET,40518,OK,Custer,Zone 4,PLT,D,A,10/1/97,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20020913 07:18
DALE INDIANA,4485,IN,Spencer,Zone 3,LDC,D,A,1/1/83,,,N,Community Natural Gas,7814049,,,,N,,20190319 10:17
DALE WI,40495,WI,Outagamie,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20190402 09:31
DANE COUNTY LANDFILL,513130,WI,Dane,Zone 7,INT,R,A,1/1/19,,,N,Dane County,990000014,,,,,,20190409 11:45
DANIELS 1-1B,40721,MI,Newaygo,Zone 7,WHD,R,I,2/1/88,,20180717,N,Wellmaster Prod,540802906,,,,N,,20180717 14:01
DANVILLE,40181,IA,Des Moines,Zone 6,LDC,D,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:46
DAVIESS COUNTY RNG,513201,KY,Daviess,Zone 3,RNG,R,A,4/1/25,,,Y,Owensboro RNG,990000067,,,,N,,20250401 13:00
DAVIESS COUNTY RNG BUYBACK,523211,KY,Daviess,Zone 3,RNG,D,A,4/1/25,,,Y,Owensboro RNG,990000067,,,,N,,20250401 13:00
DE PERE INTERCONNECT,261573,WI,Brown,Zone 7,LDC,D,A,7/1/99,,,N,Wisconsin Public Service Co,7947435,,,,N,,20160513 09:31
DEFIANCE (RECEIPT),38224,OH,Defiance,Zone 3,INT,R,A,1/1/83,,,Y,PEPL,45256641,,ANR Defiance,ANRDF,Y,C000250,20160513 09:31
DEFIANCE/PANHANDLE (DEL),15672,OH,Defiance,Zone 3,INT,D,A,1/1/83,,,Y,PEPL,45256641,,ANR Defiance,ANRDF,Y,C000250,20170509 09:46
DELHI PANTHER CREEK INT,142171,OK,Custer,Zone 4,INT,R,A,3/1/94,,,Y,"Oneok Field Services Company, L.L.C.",807558072,,ANR Panther Creek,DUB0029,Y,C001674,20070304 17:32
DENMARK IA,4736,IA,Lee,Zone 6,LDC,D,A,1/1/83,,,N,Midamerican Energy Co,884718768,,,,N,,20170607 12:46
DENMARK WI,28660,WI,Brown,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20160408 09:01
DES PLAINS,769472,IL,Will,Zone 7,INT,D,A,2/27/09,,,Y,Northern Border,21632583,,Des Plaines,769471,Y,C000626,20170901 11:16
DESOTO,523101,MS,De Soto,Zone 2,LDC,B,A,7/27/21,,,Y,Atmos Energy Corp,108203241,,,,,,20210825 11:15
DETROIT A & B (RECEIPT),48642,MI,Mecosta,Zone 7,LDC,R,A,11/1/93,,,N,DTE Gas Company,6958540,,,,N,,20160603 14:38
DETROIT A (DELIVERY),40892,MI,Mecosta,Zone 7,LDC,D,A,1/1/83,,,N,DTE Gas Company,6958540,,Detroit A-REC,9004,N,,20170726 14:17
DETROIT B (DELIVERY),40895,MI,Mecosta,Zone 7,LDC,D,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20170620 13:07
DETROIT EDISON GREENWOOD,320550,MI,St Clair,Zone 7,LDC,D,A,2/1/02,,,N,Detroit Edison Co,6957872,,,,N,,20020913 07:18
DEWARD - GREAT LAKES - D,40785,MI,Crawford,Zone 7,INT,D,A,1/1/70,,,Y,Great Lakes Gas Transmission,824900229,,Deward Rec,40792,Y,C000628,20070314 17:32
DEWARD - GREAT LAKES - R,142164,MI,Crawford,Zone 7,INT,R,A,1/1/70,,,Y,Great Lakes Gas Transmission,824900229,,Deward Delivery,720039,Y,C000628,20170824 12:32
DONNELLSON,4740,IA,Lee,Zone 6,LDC,D,A,1/1/83,,,N,Midamerican Energy Co,884718768,,,,N,,20170607 12:46
