Transportation Service Provider Name:,,,,ANR Pipeline Company,,,,,,,,,,,,,,,
Transportation Service Provider:,,,,6958581,,,,,,,,,,,,,,,
Transporation Service Provider FERC CID:,,,,C000623,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location Name,Loc,Loc St Abbrev,Loc Cnty,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn Loc Name,Up/Dn Loc,Up/Dn FERC CID IND,Up/Dn FERC CID,Update Date/Time
OPELOUSAS,10111,LA,St Landry,Zone 1,INT,B,A,9/1/86,,,Y,Acadian Gas Pipeline System,109006858,,ANR Opelousas,C802,Y,C000932,20190923 14:46
OPHIEM,3795,IL,Mercer,Zone 6,LDC,B,A,1/1/83,,,N,Ameren Illinois Company,6936017,,,,N,,20170607 12:39
ORION (MOLINE),103709,IL,Henry,Zone 6,LDC,B,A,1/1/90,,,N,Midamerican Energy Co,884718768,,,,N,,20170607 12:39
ORLAND,4492,IN,Steuben,Zone 7,LDC,B,A,1/1/83,,,N,NIPSCO,6937585,,,,N,,20070314 17:29
OSHKOSH,28868,WI,Winnebago,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20181102 15:38
OSHKOSH RIPPLE ROAD,444972,WI,Winnebago,Zone 7,LDC,D,A,1/26/06,,,N,Wisconsin Public Service Co,7947435,,,,N,,20181102 15:38
OTISVILLE OFFSYSTEM,1388866,MI,Genesee,-,OTH,B,A,11/1/13,,,Y,Great Lakes Gas Transmission,824900229,,Otisville,17529,Y,C000628,20131217 10:43
OTSEGO,11562,MI,Allegan,Zone 7,LDC,B,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20181101 15:19
OUTAGAMIE,513107,WI,Outagamie,Zone 7,INT,R,A,1/26/23,,,Y,Terreva Outagamie,831209619,,,,N,,20240625 18:01
OVERISEL INT NO 1,11566,MI,Allegan,Zone 7,LDC,B,A,12/1/86,,,Y,Consumers Energy,6959803,,Overisel,1609,Y,C000192,20180723 15:31
OWENSBORO INT,153767,KY,Daviess,Zone 3,END,D,A,12/1/93,,,N,Kimberly Clark Corp,6072136,,,,N,,20181213 10:17
OXFORD,28766,WI,Marquette,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20180928 15:52
PALO DURO,438677,TX,Wheeler,Zone 4,WHD,R,A,3/11/05,,,N,PRODUCERS,32358744,,,,N,,20181114 14:36
PANOLA COUNTY INT,266555,MS,Panola,Zone 2,END,B,A,9/1/05,,,N,L S P Energy Limited,99496890,,,,N,,20180510 13:18
PARIS,20046,TN,Henry,Zone 2,LDC,B,A,1/1/83,,,N,Paris Henry City Pud,66115122,,,,N,,20181019 13:08
PARIS - NORTH SHORE,261574,WI,Kenosha,Zone 7,LDC,B,A,7/1/99,,,N,North Shore Gas Company,6936306,,,,N,,20180927 13:10
PARIS HENRY GRP 1,221444,TN,Henry,Zone 2,LDC,B,A,4/21/97,,,N,Paris Henry City Pud,66115122,,,,N,,20020906 21:03
PATTERSN/STABILIZER-FUEL,327747,LA,St Mary,Zone 1,PLT,D,A,10/25/05,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20160517 10:02
PATTERSON FR TGT-DRY,40321,LA,St Mary,Zone 1,INT,R,A,4/1/04,,,Y,Texas Gas Transmission LLC,115972101,,ANR-Burdett,9503,Y,C000592,20040329 14:53
PATTERSON TERMINAL,1261146,LA,St Mary,Zone 1,INT,D,A,10/1/12,,,Y,Kinetica Deepwater,8017117,,PATTERSON TERMINAL,1261146,Y,C002844,20180524 11:32
PATTERSON TO COL GULF,43613,LA,St Mary,Zone 1,INT,B,A,1/1/83,,,Y,Columbia Gulf Transmission,7854581,,ANR-Patterson,480,Y,C000306,20170929 10:27
PATTERSON TO LIG,142179,LA,St Mary,Zone 1,INT,D,A,7/1/88,,,N,Enlink LIG,41220351,,,,N,,19970507 13:37
PATTERSON/ANR,1250766,LA,St Mary,Zone 1,INT,B,I,10/24/12,,,Y,Kinetica Deepwater,8017117,,PATTERSON/ANR,1250766,Y,C002844,20220330 13:30
PATTERSON/NEPTUNE,505655,LA,St Mary,Zone 1,INT,B,A,4/1/22,,,Y,Kinetica Deepwater,8017117,,,,,,20220330 13:30
PATTERSON/PELICAN,505654,LA,St Mary,Zone 1,INT,B,A,4/1/22,,,Y,Enlink LIG,41220351,,,,,,20220330 13:30
PATTERSON/TRUNKLINE DEL,40317,LA,St Mary,Zone 1,INT,D,A,1/1/89,,,Y,Trunkline Gas Co LLC,7933062,,Patterson - ANR,80368,Y,C000251,20160503 15:10
PATTERSON/TRUNKLINE REC,48640,LA,St Mary,Zone 1,INT,R,A,1/1/83,,,Y,Trunkline Gas Co LLC,7933062,,Patterson @ ANR,81716,Y,C000251,20061115 16:30
PAULDING/COL GAS,16118,OH,Paulding,Zone 3,INT,B,A,7/26/83,,,Y,Columbia Gas Transmission,54748041,,Paulding-3,F1,Y,C000306,20101022 15:18
PAULINE NO 1-19,51700341,OK,Custer,Zone 4,WHD,R,I,10/1/03,,20160601,N,Exok Inc,97284517,,,,N,,20160602 17:02
PECANIERE INT,279735,LA,St Landry,Zone 2,INT,R,A,5/10/00,,,N,Progas Inc.,787844026,,,,N,,20170109 10:02
PELICAN TO EUNICE TRANSF,9505451,LA,Acadia,Zone 1,PLT,D,A,6/7/01,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20050720 08:50
PEMBINE,40471,MI,Dickinson,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180601 10:06
PESHTIGO,28763,WI,Marinette,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20150601 10:15
PGL&C - GROUP 1,295958,IL,Will,Zone 7,LDC,B,A,6/1/01,,,N,Peoples GL&C,6932115,,,,N,,20130224 14:49
PINE PRAIRIE NORTH DEL,490941,LA,Evangeline,Zone 2,INT,D,A,12/22/08,,,Y,Pine Prairie Energy  Center LLC,187408526,,ANR ML2,490941,Y,C001058,20090313 11:25
PINE PRAIRIE NORTH REC,490940,LA,Evangeline,Zone 2,INT,R,A,2/20/08,,,Y,Pine Prairie Energy  Center LLC,187408526,,ANR ML2,490941,Y,C001058,20080221 10:53
PINE PRAIRIE SOUTH DEL,766185,LA,Acadia,Zone 1,INT,D,A,2/18/09,,,Y,Pine Prairie Energy  Center LLC,187408526,,ANR SE,766185,Y,C001058,20090226 10:54
PINE PRAIRIE SOUTH REC,766184,LA,Acadia,Zone 1,INT,R,A,2/18/09,,,Y,Pine Prairie Energy  Center LLC,187408526,,ANR SE,766184,Y,C001058,20090226 10:53
PLYMOUTH,28829,WI,Sheboygan,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180814 14:12
PORTLAND,4351,IN,Jay,Zone 3,LDC,B,A,1/1/83,,,N,Ohio Valley Gas Corp,6940274,,,,N,,20170918 09:39
PORT WASHINGTON NOT ON LDD ALLEN,,,,,LDC,,,,,,,,,,,,,,
PPL UNIVERSITY PARK PWR,318733,IL,Will,Zone 7,END,B,A,2/1/02,,,N,LSP University Park,118920805,,,,N,,20180131 15:05
PRAIRIE BEACH WC 3,484697,LA,Cameron,Zone 1,INT,R,I,10/24/06,,20180412,N,Northstar Offshore,4418157,,,,N,,20180416 11:40
PREMIER ETHANOL-PORTLAND,1389347,IN,Jay,Zone 3,PLT,D,A,2/1/14,,,N,Ohio Valley Gas Corp,6940274,,,,N,,20140225 06:31
PRINCETON MO,40183,IA,Wayne,Zone 6,LDC,B,I,1/1/83,,,N,Princeton City Of,53645222,,,,N,,20140131 13:34
PRINCETON II,523105,IA,Wayne,Zone 6,LDC,B,A,9/17/20,,,N,Princeton City Of,53645222,,,,N,,20201027 13:34
PRINCETON WI,28765,WI,Marquette,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20180928 15:52
PRINCETON-CILCO,3605,IL,Bureau,Zone 6,LDC,B,A,2/1/87,,,N,Ameren Illinois Company,6936017,,,,N,,20170607 12:39
PROTECTION SOUTHEAST,61500011,KS,Comanche,Zone 4,WHD,R,I,6/5/10,,20100625,N,Griggs Oil Co,540609813,,,,N,,20100625 10:32
PROUGH ROAD,1292925,MI,Kalkaska,Zone 7,END,D,A,12/1/12,,,N,Michigan Public Power,69464725,,,,N,,20180918 12:33
PULASKI,28819,WI,Shawano,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20180601 10:15
PULCIFER,28821,WI,Shawano,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20150508 12:53
RABBIT RIDGE INT (DEL),153751,KY,Hopkins,Zone 2,INT,D,A,1/1/92,,,N,WKG Storage,782861256,,,,N,,20180829 14:27
RABBIT RIDGE INT (REC),153753,KY,Hopkins,Zone 2,STR,R,A,1/1/92,,,N,WKG Storage,782861256,,,,N,,20180829 14:27
RABBIT RIVER,523093,MI,ALLEGAN,Zone 7,LDC,D,A,11/1/18,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20181016 10:09
RACINE,28720,WI,Kenosha,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Electric Power,7947385,,,,N,,20180927 13:10
RANDOLPH,28670,WI,Columbia,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180928 15:52
RAPIDES,9699,LA,Rapides,Zone 2,INT,B,A,6/1/08,,,Y,Gulf South P/L Co,78444247,,Rapides (To ANR),3496,Y,C000591,20170929 10:24
RAVENWOOD,13138,MO,Nodaway,Zone 6,LDC,B,A,1/1/83,,,N,Empire District Gas,625371880,,,,N,,20150709 11:41
RED BULL,737783,TX,Wheeler,Zone 4,INT,B,A,4/30/08,,,Y,El Paso Natural Gas,8001703,,Red Bull Receipt Point,737783,Y,C000967,20181002 13:06
RED RIVER (REC) INT,185837,TX,Wheeler,Zone 4,INT,R,A,1/31/96,,,Y,Oneok Westex Trans Inc,611855602,,ANR Red River Wheeler,103700,Y,C000586,20080812 16:01
RED RIVER DELIVERY,738789,TX,Wheeler,Zone 4,INT,D,A,3/17/08,,,Y,Oneok Westex Trans Inc,611855602,,ANR Red River Wheeler,103700,Y,C000586,20080812 15:44
REX SHELBYVILL NORTH CDP,1389405,IN,Shelby,Zone 3,VIR,B,I,7/1/14,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20140624 10:35
REX SHELBYVILL SOUTH CDP,1389406,IN,Shelby,Zone 3,VIR,B,I,7/1/14,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20181022 10:42
REX SHELBYVILLE,742252,IN,Shelby,Zone 3,INT,B,A,8/1/09,,,Y,Rockies Express Pipeline LLC,784256161,,ANR/Rex Shelby,44416,Y,C000594,20091006 15:55
REX SHELBYVILLE EXPANSIO,1395686,IN,Shelby,Zone 3,INT,B,A,8/1/15,,,Y,Rockies Express Pipeline LLC,784256161,,ANR/Rex Shelby,44416,Y,C000594,20161017 09:03
REX WEST INT,696539,KS,Brown,Zone 5,INT,B,A,1/1/08,,,Y,Rockies Express Pipeline LLC,784256161,,ANR/Rex Brown,43038,Y,C000594,20150709 14:54
RHINELANDER,28774,WI,Oneida,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20190117 10:14
RICHLAND SOUTH INT,702777,LA,Richland,Zone 2,INT,R,A,12/1/07,,,Y,Enable Gas Transmission,872670161,,ANR CP Del,13547,Y,C000544,20100817 14:38
RIDGEVILLE,40481,OH,Henry,Zone 7,LDC,B,A,3/1/87,,,N,Ohio Gas Company,3779345,,,,N,,20160414 14:09
RIO,494371,WI,Columbia,Zone 7,INT,D,A,2/20/07,,,Y,Northern Natural Gas Company,78415214,,ANR/NNG Rio Interconnect,78878,Y,C000060,20180928 15:52
RIVERWAY (TO BRIDGELINE),42593,LA,St Mary,Zone 1,INT,B,A,6/1/84,,,Y,Bridgeline Holding,9603424,,ANR Patterson,840046,Y,C000826,20160503 15:09
ROBERTS CO NO 1 DEL.,736566,TX,Roberts,Zone 4,INT,D,A,2/1/08,,,Y,Transwestern Pipeline Co,7933047,,ANR/TW Red Deer,57274,Y,C000076,20091217 14:13
ROBERTS COUNTY (REC),25935,TX,Roberts,Zone 4,INT,B,A,11/1/92,,,Y,Transwestern Pipeline Co,7933047,,ANR/TW Red Deer,57274,Y,C000076,20091217 14:12
ROBERTS EAGLE ROCK,693468,TX,Roberts,Zone 4,WHD,R,I,6/21/07,,20181031,N,ETC Field SVCS,143622871,,,,N,,20181031 09:12
ROBERTS EAGLE ROCK RED D,460315,TX,Roberts Co,Zone 4,INT,D,A,4/19/17,,,N,ETC Field SVCS,143622871,,,,N,,20181030 16:08
ROBERTS/MIDSTREAM,467674,TX,Roberts,Zone 4,WHD,R,I,1/18/06,,20181031,N,ETC Field SVCS,143622871,,,,N,,20181031 09:12
ROCHESTER,28798,WI,Racine,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Electric Power,7947385,,,,N,,20181114 14:58
ROGER MILLS INT,36981,OK,Roger Mills,Zone 4,INT,B,A,1/1/83,,,N,Enbridge P/L (TX Gath),32358744,,,,N,,20180919 09:01
ROGERS HEIGHTS,138611,MI,Mecosta,Zone 7,LDC,B,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20050428 08:58
ROSHOLT (WISC) INT,174791,WI,Portage,Zone 7,LDC,B,A,7/21/94,,,N,Wisconsin Public Service Co,7947435,,,,N,,20160408 08:54
RUCKMAN FARM,513104,MO,Gentry,Zone 6,INT,R,A,6/28/16,,,N,Roeslein Alternative,504804272,,,,,,20170929 10:28
RUCKMAN FARM REVERSE,523088,MO,Gentry,Zone 6,INT,D,I,6/1/16,,,N,Roeslein Alternative,504804272,,,,,,20191015 15:18
RUDOLPH,28882,WI,Wood,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20181211 10:03
SANDYVIEW,513133,MI,Allegan,Zone 7,INT,B,A,8/2/22,,,N,Brook and Scenic,990000047,,,,N,,20220815 10:10
S E CDP (GATHERING),158587,LA,Acadia,Zone 1,PPT,B,A,10/1/93,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20080110 15:03
S E CDP (TRANSMISSION),345116,LA,Acadia,Zone 1,PPT,B,A,7/25/02,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20080110 15:00
S E HEADSTATION,103565,LA,Acadia,Zone 1,PPT,B,A,1/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,19970804 04:54
S W CDP,153905,OK,Oklahoma,Zone 4,PPT,B,A,10/1/93,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20180919 08:56
S W HEADSTATION,103702,KS,Kiowa,Zone 4,PPT,B,A,1/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,19971028 20:34
S. WOODSTOCK/NGPL (DEL),3908,IL,McHenry,Zone 7,INT,D,A,1/1/83,,,Y,NGPL,6931794,,ANR/NGPL South Woodstock McHenry,6100,Y,C002096,20104030 15:00
S. WOODSTOCK/NGPL (REC),120740,IL,McHenry,Zone 7,INT,R,A,1/1/83,,,Y,NGPL,6931794,,ANR/NGPL South Woodstock McHenry,6100,Y,C002096,20100430 15:01
SCHNELLVILLE,40452,IN,Dubois,Zone 3,LDC,B,A,7/1/87,,,N,Indiana Natural Gas Co,44911683,,,,N,,20181231 10:17
SEATON,3974,IL,Mercer,Zone 6,LDC,B,A,1/1/83,,,N,Ameren Illinois Company,6936017,,,,N,,20170607 12:39
SEM GAS - GRP 1,139249,MI,Michigan,Zone 7,LDC,B,A,6/1/92,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20010502 21:15
SEMINOLE-BUTTERMILK,261413,KS,Comanche,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,20020926 10:27
SEMINOLE-GULF NICHOLS,217696,KS,Kiowa,Zone 4,WHD,R,A,12/11/96,,,N,Continuum Midstream,86747735,,,,N,,20031016 17:42
SEMINOLE-HANSFORD INT,261335,TX,Hansford,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,20020926 10:24
SEMINOLE-HARPER VALLEY,261332,OK,Harper,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,20020926 10:26
SEMINOLE-LOVEDALE,261312,OK,Harper,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,20020926 10:26
SEMINOLE-MEADE,261343,KS,Meade,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,20020926 10:28
SEMINOLE-N KORFMAN,261234,OK,Custer,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,19990609 07:35
SEMINOLE-S KORFMAN,261235,OK,Custer,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,19990608 21:23
SEMINOLE-S WHEELER,261340,TX,Wheeler,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,20020926 10:26
SEMINOLE-TRUNK 464-0482,261262,OK,Dewey,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,19990609 07:35
SEMINOLE-TRUNK 464-0802,261212,OK,Custer,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,19990609 07:35
SEMINOLE-TRUNK 482-0801,261337,TX,Hemphill,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,20020926 10:23
SEMINOLE-TRUNK 493-0801,261342,TX,Wheeler,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,19990802 21:37
SEMINOLE-TRUNK 493-0802,261341,TX,Wheeler,Zone 4,WHD,R,I,7/1/99,,20181221,N,Continuum Midstream,86747735,,,,N,,20181227 09:34
SEMINOLE-TRUNK 496-0615,327746,OK,Custer,Zone 4,WHD,R,A,7/1/02,,,N,Continuum Midstream,86747735,,,,N,,20041117 07:20
SEMINOLE-TX COUNTY,261333,OK,Texas,Zone 4,WHD,R,A,7/1/99,,,N,Continuum Midstream,86747735,,,,N,,19990802 21:37
SEMINOLE-WOOLFOLK MASTER,394525,OK,Harper,Zone 4,WHD,R,A,8/1/04,,,N,Continuum Midstream,86747735,,,,N,,20040820 08:59
SEYMOUR IA,4859,IA,Wayne,Zone 6,LDC,B,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20140131 13:41
SEYMOUR WI,28782,WI,Outagamie,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20160418 08:50
SHADYSIDE/SONAT (DEL),10369,LA,St Mary,Zone 1,INT,D,A,8/24/98,,,Y,Southern Natural Gas Company,6900518,,ANR/SNG Shadyside Saint Mary,604000,Y,C000021,20181002 13:38
SHADYSIDE/SONAT (REC),33400,LA,St Mary,Zone 1,INT,R,A,1/1/83,,,Y,Southern Natural Gas Company,6900518,,ANR/SNG Shadyside Saint Mary,604000,Y,C000021,20181002 13:47
SHADYSIDE/TGP (DEL),467240,LA,St Mary,Zone 1,INT,D,A,1/4/06,,,Y,Tennessee Gas P/L Co,1939164,,ANR/TGP Shadyside-St Mary,412684,Y,C000020,20101014 21:46
SHADYSIDE/TGP (REC),467239,LA,St Mary,Zone 1,INT,R,A,1/4/06,,,Y,Tennessee Gas P/L Co,1939164,,ANR/TGP Shadyside-St Mary,412684,Y,C000020,20101004 21:47
SHARON,36936,WI,Walworth,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Electric Power,7947385,,,,N,,20180529 15:22
SHARP ROAD DELIVERY,360907,IL,Will,Zone 7,LDC,D,A,8/11/03,,,N,Peoples GL&C,6932115,,,,N,,20161228 09:10
SHARP ROAD RECEIPT,360906,IL,Will,Zone 7,LDC,R,A,9/16/03,,,N,Peoples GL&C,6932115,,,,N,,20161228 09:10
SHAWANO,28825,WI,Shawano,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20150508 12:53
SHEBOYGAN,28831,WI,Sheboygan,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180814 14:12
SHEBOYGAN FALLS,439345,WI,Sheboygan,Zone 7,LDC,B,A,9/28/05,,,N,Wisconsin Power & Lght,7946452,,,,N,,20170928 12:09
SHERMAN PLANT,187481,TX,Hansford,Zone 4,INT,B,I,1/17/96,,20190704,N,DCP Midstream,3048753,,,,N,,20070314 17:28
SHIRLEY,4338,IN,Henry,Zone 3,LDC,B,A,1/1/83,,,N,Fountaintown Gas,75981516,,,,N,,20181218 09:06
SHOREWOOD INTERCONNECT,138675,IL,Will,Zone 7,LDC,B,A,12/1/98,,,Y,Nicor Gas Co,6927792,,Shorewood,Station 97,Y,C000600,20171027 12:57
SLAUGHTERS/TGT (DEL),6470,KY,Webster,Zone 3,INT,D,A,1/1/83,,,Y,Texas Gas Transmission LLC,115972101,,ANR-Slaughters,8082,Y,C000592,20131016 17:42
SLAUGHTERS/TGT (REC),48639,KY,Webster,Zone 3,INT,R,A,12/1/83,,,Y,Texas Gas Transmission LLC,115972101,,ANR-Slaughters,8082,Y,C000592,20091202 20:17
SOHIO,42940,OK,Roger Mills,Zone 4,INT,B,I,10/1/87,,20180919,Y,Enable Oklahoma,7205412,,ANR Sohio,32676,Y,C000960,20180919 09:01
SOMERVILLE GROUP 1,267228,TN,Fayette,Zone 2,LDC,B,A,11/1/99,,,N,Somerville Town Of,99181786,,,,N,,19991018 21:18
SOMERVILLE NORTH INT,261477,TN,Fayette,Zone 2,LDC,D,A,8/15/99,,,N,Somerville Town Of,99181786,,,,N,,20180510 13:18
SOMERVILLE SOUTH INT,261478,TN,Fayette,Zone 2,LDC,D,A,8/15/99,,,N,Somerville Town Of,99181786,,,,N,,20180510 13:18
SOUTH APPLETON,28869,WI,Winnebago,Zone 7,LDC,B,I,1/1/83,,20190328,N,Wisconsin Public Service Co,7947435,,,,N,,20181102 15:38
SOUTH BURLINGTON (IA),174792,IA,Lee,Zone 6,LDC,B,A,8/24/94,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:39
SOUTH CHESTER DEL,1260989,MI,Crawford,Zone 7,LDC,D,A,12/1/11,,,Y,Great Lakes Gas Transmission,824900229,,South Chester,11568,Y,C000628,20120404 13:32
SOUTH CHESTER REC,1260988,MI,Crawford,Zone 7,STA,R,A,12/1/11,,,Y,Great Lakes Gas Transmission,824900229,,South Chester,11568,Y,C000628,20120404 13:32
SOUTH CHRISNEY (SIGECO),138747,IN,Spencer,Zone 3,LDC,D,A,12/1/89,,,N,Southern Indiana Gas ,6937015,,,,N,,20180510 13:18
SOUTH CRAIG INTERCONNECT,284918,MO,Holt,Zone 5,LDC,B,A,11/28/00,,,N,Golden Triangle Engy Co,540617004,,,,N,,20160203 13:54
SOUTH DEFIANCE,139399,OH,Defiance,Zone 7,LDC,B,A,12/1/89,,,N,Ohio Gas Company,3779345,,,,N,,20160414 14:09
SOUTH FOND DU LAC,28697,WI,Fond Du Lac,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180727 14:23
SOUTH FORT MADISON,4742,IA,Lee,Zone 6,LDC,B,A,1/1/83,,,N,Midamerican Energy Co,884718768,,,,N,,20170607 12:39
SOUTH GRAND HAVEN,11749,MI,Ottawa,Zone 7,LDC,B,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20171221 12:45
SOUTH GRAND RAPIDS,11674,MI,Kent,Zone 7,LDC,B,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20181102 16:02
SOUTH HAVEN,11795,MI,Van Buren,Zone 7,LDC,B,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20181101 15:19
SOUTH JANESVILLE,28814,WI,Rock,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20170719 09:39
SOUTH MADISON,36869,WI,Dane,Zone 7,LDC,B,A,1/1/83,,,N,Madison Gas & Electric,7946346,,,,N,,20190115 11:45
SOUTH MARYVILLE,13136,MO,Nodaway,Zone 6,LDC,B,A,1/1/83,,,N,Empire District Gas,625371880,,,,N,,20140131 13:30
SOUTH OSHKOSH,28866,WI,Winnebago,Zone 7,LDC,B,I,1/1/83,,20190328,N,Wisconsin Public Service Co,7947435,,,,N,,20181102 15:38
SOUTH WAUSAU,28743,WI,Marathon,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20181211 10:03
SOUTHEASTERN MICH,40478,MI,St Clair,Zone 7,LDC,B,A,1/15/85,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20171005 09:20
SPARTA-MUSKEGON,40849,MI,Kent,Zone 7,LDC,B,A,10/1/93,,,N,DTE Gas Company,6958540,,,,N,,20190122 16:43
SPEARMAN,918527,TX,Ochiltree,Zone 4,WHD,R,A,1/5/10,,,N,PVR Midstream,557207763,,,,N,,20150810 15:05
ST ANTHONY,4277,IN,Dubois,Zone 3,LDC,B,A,1/1/83,,,N,Ohio Valley Gas Corp,6940274,,,,N,,20181213 10:17
ST HENRY,40453,IN,Dubois,Zone 3,LDC,B,A,1/1/87,,,N,Community Natural Gas,7814049,,,,N,,20181213 10:17
ST HENRY -EAST OHIO GAS,112029,OH,Mercer,Zone 3,LDC,B,A,2/27/90,,,N,East Ohio Gas Co,7900475,,,,N,,20181218 09:06
ST JOSEPH,11577,MI,Berrien,Zone 7,LDC,B,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20150211 13:12
ST JOSEPH-GRP 1,139247,MO,Holt,Zone 5,LDC,B,A,11/1/92,,,N,Empire District Gas,625371880,,,,N,,20030224 14:39
ST JOSEPH-GRP 2,139367,MO,Holt,Zone 6,LDC,B,A,11/1/92,,,N,Empire District Gas,625371880,,,,N,,19991103 21:26
ST LANDRY/FL INT,322625,LA,St Landry,Zone 1,INT,B,A,5/1/02,,,Y,Florida Gas Transmission,6924518,,ANR St Landry,78303,Y,C000255,20170829 16:56
ST MARTINVILLE E TO LRC,218192,LA,St Martin,Zone 2,INT,D,A,7/28/16,,,N,Louisiana Res Pipeline,7618135,,,,N,,20160728 14:45
ST. CLOUD,139404,WI,Sheboygan,Zone 7,LDC,B,A,9/1/93,,,N,Wisconsin Public Service Co,7947435,,,,N,,20150508 12:54
ST. MARTINVILLE EAST,147977,LA,St Martin,Zone 1,INT,R,A,1/1/03,,,N,Louisiana Res Pipeline,7618135,,,,N,,20030121 10:25
STADT ROAD INTERCONNECT,956594,WI,Wood,Zone 7,END,D,A,1/31/11,,,N,Marshfield Utilities,74778119,,,,N,,20181211 10:16
STAG LAKE(ST JOSEPH CO),22992,MI,St Joseph,Zone 7,LDC,B,A,1/1/90,,,Y,Consumers Energy,6959803,,Stag lake,1503,Y,C000192,20170426 15:08
STANBERRY,12976,MO,Gentry,Zone 6,LDC,B,A,1/1/83,,,N,Stanberry City of,51688745,,,,N,,20140331 13:32
STANLEY INTERCONNECT,201846,KY,Daviess,Zone 3,LDC,D,I,1/1/97,,20190501,Y,Atmos Energy Corp,108203241,,Owensboro Stanley,521976,Y,C003008,20180510 13:18
STEVENS POINT,28794,WI,Portage,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20160408 08:52
